ticker,notes,added_at
INTC,,2/6/2026 16:05
NVDA,,2/6/2026 16:05
NOK,,
PLTR,,
CCL,,
MU,,
AMD,,
CIFR,,
PINS,,
PFE,,
SMCI,,
SOFI,,
NFLX,,
AAPL,,
IREN,,
OWL,,
TSLA,,
AAL,,
F,,
ET,,
AMZN,,
NVTS,,
SHOP,,
MARA,,
PYPL,,
BMNR,,
QCOM,,
NCLH,,
IONQ,,
APLD,,
WULF,,
CMCSA,,
PATH,,
NU,,
BAC,,
RIVN,,
UBER,,
BRBR,,
MSFT,,
VALE,,
HOOD,,
RGTI,,
T,,
USAR,,
PUMP,,
GOOGL,,
ORCL,,
UMC,,
CRWV,,
NOW,,
ON,,
CRCL,,
MRVL,,
CPNG,,
NVO,,
AVGO,,
RIOT,,
SNDK,,
CMG,,
TSCO,,
ASTS,,
CRML,,
TTD,,
QBTS,,
HR,,
RBLX,,
SMR,,
NKE,,
UAMY,,
CYTK,,
GME,,
RKT,,
HPQ,,
VTRS,,
GPK,,
ABT,,
META,,
RKLB,,
CLSK,,
WBD,,
VRDN,,
CDE,,
ANET,,
KHC,,
MSTR,,
HIMS,,
VG,,
GOOG,,
FISV,,
KVUE,,
VZ,,
DOCN,,
DVN,,
CNH,,
CHYM,,
TSM,,
DIS,,
TOST,,
HBAN,,
LYFT,,
LUNR,,
CORZ,,
FCX,,
CAG,,
AESI,,
CVE,,
C,,
QXO,,
PBR,,
CSCO,,
FSLY,,
KEY,,
PSKY,,
FIG,,
STM,,
BSX,,
XOM,,
CRBG,,
GLW,,
CLF,,
EQH,,
LRCX,,
NBIS,,
RCAT,,
APH,,
KO,,
HPE,,
PR,,
WFC,,
BMY,,
WGS,,
HL,,
MCHP,,
CUK,,
FCEL,,
PCG,,
WOLF,,
MO,,
LWLG,,
WMT,,
INFY,,
AGNC,,
APTV,,
SONY,,
COIN,,
EXC,,
ADM,,
WDC,,
CRM,,
SHEL,,
CSX,,
DKNG,,
ASX,,
XRAY,,
FLEX,,
OXY,,
MDT,,
KMI,,
CNQ,,
CRGY,,
GFS,,
BEN,,
WMB,,
XXNDU,,
KDP,,
KVYO,,
OSCR,,
GIS,,
CTRA,,
ZETA,,
AKAM,,
FLY,,
ENPH,,
ZIM,,
UUUU,,
PBR.A,,
MDLZ,,
PL,,
SO,,
U,,
OKLO,,
AXTI,,
AES,,
DAL,,
FE,,
ALAB,,
CX,,
SHC,,
HBM,,
BKNG,,
AAOI,,
ARM,,
MRK,,
B,,
UPST,,
DOC,,
LTH,,
IP,,
UEC,,
PG,,
ATEC,,
BAX,,
TEAM,,
VICI,,
SLB,,
BE,,
EBAY,,
VISN,,
BBWI,,
GEHC,,
BP,,
PCOR,,
CVS,,
TXN,,
COP,,
FIS,,
OGN,,
DD,,
HST,,
NEE,,
NET,,
UPS,,
DOW,,
APA,,
RDDT,,
PTEN,,
KNX,,
EQT,,
USB,,
AG,,
BTU,,
RF,,
CARR,,
FLG,,
BABA,,
IBN,,
ETN,,
S,,
EVER,,
CART,,
PK,,
SWKS,,
MOS,,
AMPX,,
JD,,
ALHC,,
INFQ,,
LEGN,,
LITE,,
RUN,,
HAL,,
STX,,
OMC,,
ADMA,,
UNH,,
SBUX,,
HOG,,
FAST,,
OPCH,,
GE,,
HD,,
CNP,,
AMAT,,
JPM,,
MTCH,,
CTSH,,
ELAN,,
FIVN,,
TEVA,,
ADTN,,
PEP,,
GILD,,
AMKR,,
CRDO,,
TJX,,
NXE,,
OUST,,
TFC,,
SW,,
CC,,
BCS,,
DUOL,,
TEM,,
BEKE,,
HNGE,,
BUD,,
V,,
SNOW,,
VIAV,,
ERIC,,
BKR,,
DASH,,
SCHW,,
KGC,,
NDAQ,,
SAN,,
GAP,,
KKR,,
GEN,,
CVX,,
NWG,,
COHR,,
MP,,
CSGP,,
JNJ,,
CHWY,,
STNE,,
DXCM,,
XXE,,
CPB,,
VRT,,
DDOG,,
CCJ,,
TMUS,,
CELH,,
INVH,,
VSH,,
BRK.B,,
AMCR,,
IAG,,
LVS,,
KALV,,
GPN,,
IVZ,,
NI,,
PPL,,
PSLV,,
EQX,,
PANW,,
ACN,,
GM,,
BALL,,
CL,,
BTDR,,
EWTX,,
PRMB,,
CNC,,
CTVA,,
NWSA,,
WY,,
DIA,,
